Datetime,O3
2008-01-01 00:00:00,32.6
2008-01-01 01:00:00,35.3
2008-01-01 02:00:00,43.2
2008-01-01 03:00:00,42.4
2008-01-01 04:00:00,40.1
2008-01-01 05:00:00,33.8
2008-01-01 06:00:00,26.7
2008-01-01 07:00:00,22.4
2008-01-01 08:00:00,21.5
2008-01-01 09:00:00,23.7
2008-01-01 10:00:00,28.0
2008-01-01 11:00:00,29.6
2008-01-01 12:00:00,30.0
2008-01-01 13:00:00,30.6
2008-01-01 14:00:00,30.6
2008-01-01 15:00:00,27.8
2008-01-01 16:00:00,23.7
2008-01-01 17:00:00,22.1
2008-01-01 18:00:00,22.2
2008-01-01 19:00:00,23.6
2008-01-01 20:00:00,25.8
2008-01-01 21:00:00,28.3
2008-01-01 22:00:00,30.5
2008-01-01 23:00:00,33.8
2008-02-01 00:00:00,20.3
2008-02-01 01:00:00,21.1
2008-02-01 02:00:00,24.0
2008-02-01 03:00:00,24.5
2008-02-01 04:00:00,23.4
2008-02-01 05:00:00,19.6
2008-02-01 06:00:00,15.0
2008-02-01 07:00:00,12.1
2008-02-01 08:00:00,12.6
2008-02-01 09:00:00,15.8
2008-02-01 10:00:00,20.0
2008-02-01 11:00:00,23.6
2008-02-01 12:00:00,25.8
2008-02-01 13:00:00,27.4
2008-02-01 14:00:00,26.7
2008-02-01 15:00:00,24.8
2008-02-01 16:00:00,21.7
2008-02-01 17:00:00,17.2
2008-02-01 18:00:00,16.8
2008-02-01 19:00:00,16.7
2008-02-01 20:00:00,18.2
2008-02-01 21:00:00,19.0
2008-02-01 22:00:00,20.3
2008-02-01 23:00:00,21.0
2008-03-01 00:00:00,37.5
2008-03-01 01:00:00,42.9
2008-03-01 02:00:00,48.4
2008-03-01 03:00:00,49.2
2008-03-01 04:00:00,46.9
2008-03-01 05:00:00,41.0
2008-03-01 06:00:00,33.0
2008-03-01 07:00:00,30.9
2008-03-01 08:00:00,34.4
2008-03-01 09:00:00,38.8
2008-03-01 10:00:00,42.5
2008-03-01 11:00:00,44.5
2008-03-01 12:00:00,45.8
2008-03-01 13:00:00,46.8
2008-03-01 14:00:00,46.9
2008-03-01 15:00:00,46.3
2008-03-01 16:00:00,43.9
2008-03-01 17:00:00,39.9
2008-03-01 18:00:00,34.9
2008-03-01 19:00:00,33.4
2008-03-01 20:00:00,33.3
2008-03-01 21:00:00,33.2
2008-03-01 22:00:00,33.2
2008-03-01 23:00:00,35.1
2008-04-01 00:00:00,36.2
2008-04-01 01:00:00,38.3
2008-04-01 02:00:00,38.3
2008-04-01 03:00:00,32.8
2008-04-01 04:00:00,26.0
2008-04-01 05:00:00,19.0
2008-04-01 06:00:00,19.8
2008-04-01 07:00:00,26.1
2008-04-01 08:00:00,31.7
2008-04-01 09:00:00,37.9
2008-04-01 10:00:00,43.0
2008-04-01 11:00:00,45.7
2008-04-01 12:00:00,48.0
2008-04-01 13:00:00,48.5
2008-04-01 14:00:00,49.7
2008-04-01 15:00:00,50.0
2008-04-01 16:00:00,48.6
2008-04-01 17:00:00,46.3
2008-04-01 18:00:00,42.4
2008-04-01 19:00:00,37.8
2008-04-01 20:00:00,35.7
2008-04-01 21:00:00,35.2
2008-04-01 22:00:00,35.5
2008-04-01 23:00:00,36.6
2008-05-01 00:00:00,44.4
2008-05-01 01:00:00,43.3
2008-05-01 02:00:00,40.3
2008-05-01 03:00:00,35.3
2008-05-01 04:00:00,28.2
2008-05-01 05:00:00,23.0
2008-05-01 06:00:00,23.7
2008-05-01 07:00:00,27.5
2008-05-01 08:00:00,33.2
2008-05-01 09:00:00,39.5
2008-05-01 10:00:00,47.2
2008-05-01 11:00:00,54.5
2008-05-01 12:00:00,60.7
2008-05-01 13:00:00,63.7
2008-05-01 14:00:00,64.9
2008-05-01 15:00:00,66.3
2008-05-01 16:00:00,66.0
2008-05-01 17:00:00,61.4
2008-05-01 18:00:00,57.1
2008-05-01 19:00:00,51.2
2008-05-01 20:00:00,46.0
2008-05-01 21:00:00,45.0
2008-05-01 22:00:00,44.4
2008-05-01 23:00:00,43.7
2008-06-01 00:00:00,31.9
2008-06-01 01:00:00,32.5
2008-06-01 02:00:00,33.3
2008-06-01 03:00:00,30.8
2008-06-01 04:00:00,26.1
2008-06-01 05:00:00,24.1
2008-06-01 06:00:00,27.2
2008-06-01 07:00:00,30.9
2008-06-01 08:00:00,34.4
2008-06-01 09:00:00,39.5
2008-06-01 10:00:00,43.6
2008-06-01 11:00:00,47.0
2008-06-01 12:00:00,49.5
2008-06-01 13:00:00,51.2
2008-06-01 14:00:00,52.4
2008-06-01 15:00:00,53.5
2008-06-01 16:00:00,53.7
2008-06-01 17:00:00,52.5
2008-06-01 18:00:00,49.6
2008-06-01 19:00:00,46.8
2008-06-01 20:00:00,42.1
2008-06-01 21:00:00,36.8
2008-06-01 22:00:00,33.9
2008-06-01 23:00:00,32.8
2008-07-01 00:00:00,28.1
2008-07-01 01:00:00,29.4
2008-07-01 02:00:00,30.1
2008-07-01 03:00:00,26.0
2008-07-01 04:00:00,21.4
2008-07-01 05:00:00,18.0
2008-07-01 06:00:00,18.4
2008-07-01 07:00:00,21.6
2008-07-01 08:00:00,26.4
2008-07-01 09:00:00,32.2
2008-07-01 10:00:00,37.7
2008-07-01 11:00:00,41.6
2008-07-01 12:00:00,44.3
2008-07-01 13:00:00,46.6
2008-07-01 14:00:00,48.7
2008-07-01 15:00:00,50.2
2008-07-01 16:00:00,49.8
2008-07-01 17:00:00,48.7
2008-07-01 18:00:00,46.7
2008-07-01 19:00:00,43.6
2008-07-01 20:00:00,37.6
2008-07-01 21:00:00,32.7
2008-07-01 22:00:00,30.4
2008-07-01 23:00:00,29.5
2008-08-01 00:00:00,26.6
2008-08-01 01:00:00,27.9
2008-08-01 02:00:00,29.8
2008-08-01 03:00:00,27.4
