,MAPE,Parameters
0,10.101205058946354,"{'changepoint_prior_scale': 0.01, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.01}"
1,10.105819851461405,"{'changepoint_prior_scale': 0.01, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.01}"
2,10.116928829168343,"{'changepoint_prior_scale': 0.01, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.01}"
3,10.401622105657017,"{'changepoint_prior_scale': 0.01, 'n_changepoints': 100, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.01}"
4,10.437679980025273,"{'changepoint_prior_scale': 0.01, 'n_changepoints': 200, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.01}"
5,10.44623124181261,"{'changepoint_prior_scale': 0.01, 'n_changepoints': 150, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.01}"
6,10.60496212744377,"{'changepoint_prior_scale': 0.01, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.1}"
7,10.646271273967029,"{'changepoint_prior_scale': 0.01, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.1}"
8,10.73026166392578,"{'changepoint_prior_scale': 0.01, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.1}"
9,10.874376010682045,"{'changepoint_prior_scale': 0.01, 'n_changepoints': 100, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.1}"
10,10.882934200133363,"{'changepoint_prior_scale': 0.01, 'n_changepoints': 150, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.1}"
11,10.885433412331595,"{'changepoint_prior_scale': 0.01, 'n_changepoints': 150, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.5}"
12,10.886516535751838,"{'changepoint_prior_scale': 0.01, 'n_changepoints': 100, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.5}"
13,10.887746904984388,"{'changepoint_prior_scale': 0.01, 'n_changepoints': 200, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.1}"
14,10.899998962437069,"{'changepoint_prior_scale': 0.01, 'n_changepoints': 200, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.5}"
15,10.919445218095847,"{'changepoint_prior_scale': 0.001, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.01}"
16,11.171642313322177,"{'changepoint_prior_scale': 0.001, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.01}"
17,11.196151162829622,"{'changepoint_prior_scale': 0.001, 'n_changepoints': 200, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.01}"
18,11.217960520282343,"{'changepoint_prior_scale': 0.001, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.1}"
19,11.286269799734798,"{'changepoint_prior_scale': 0.001, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.1}"
20,11.301374169061198,"{'changepoint_prior_scale': 0.001, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.5}"
21,11.358695005450636,"{'changepoint_prior_scale': 0.001, 'n_changepoints': 100, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.01}"
22,11.467033591286002,"{'changepoint_prior_scale': 0.001, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.5}"
23,11.590859837853312,"{'changepoint_prior_scale': 0.001, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.01}"
24,11.61413622386076,"{'changepoint_prior_scale': 0.001, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.1}"
25,11.619666814218105,"{'changepoint_prior_scale': 0.001, 'n_changepoints': 150, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.01}"
26,11.633488352864365,"{'changepoint_prior_scale': 0.001, 'n_changepoints': 150, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.1}"
27,11.722946322218393,"{'changepoint_prior_scale': 0.001, 'n_changepoints': 200, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.1}"
28,11.867674389537495,"{'changepoint_prior_scale': 0.001, 'n_changepoints': 100, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.5}"
29,11.94403271362826,"{'changepoint_prior_scale': 0.001, 'n_changepoints': 200, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.5}"
30,12.038158359827507,"{'changepoint_prior_scale': 0.001, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.5}"
31,12.168267121423346,"{'changepoint_prior_scale': 0.001, 'n_changepoints': 150, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.5}"
32,12.311532553791887,"{'changepoint_prior_scale': 0.001, 'n_changepoints': 100, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.1}"
33,15.110068596558355,"{'changepoint_prior_scale': 0.01, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.5}"
34,15.375431588654981,"{'changepoint_prior_scale': 0.01, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.5}"
35,16.51502266940859,"{'changepoint_prior_scale': 0.01, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.5}"
36,18.6853760599701,"{'changepoint_prior_scale': 200, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.5}"
37,18.702935209046196,"{'changepoint_prior_scale': 100, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.5}"
38,18.87900074746291,"{'changepoint_prior_scale': 200, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.5}"
39,18.893243817958695,"{'changepoint_prior_scale': 200, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.1}"
40,18.893976489652356,"{'changepoint_prior_scale': 200, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.1}"
